연번,지정번호,업소명,업종,대표자,읍면동,행정동,소재지주소,데이터기준일자
1,천안-2011-005,선비숯불갈비,한식,홍대의,신부동,신안동,천안시 동남구 터미널3길 21(신부동),2026-03-26
2,천안-2012-020,포인트미용실,이미용업,원용백,대흥동,중앙동,"천안시 동남구 공설시장2길 3, 3층(대흥동)",2026-03-26
3,천안-2012-021,스타미용실,이미용업,신필자,대흥동,중앙동,천안시 동남구 대흥로 271(대흥동),2026-03-26
4,천안-2012-025,챠밍헤어클럽미용실,이미용업,이일례,원성동,원성2동,천안시 동남구 고재4길 55(원성동),2026-03-26
5,천안-2012-029,선경세탁소,세탁업,홍성찬,봉명동,봉명동,천안시 동남구 양지4길 15(봉명동),2026-03-26
6,천안-2012-031,백미용실,이미용업,백봉애,봉명동,봉명동,"천안시 동남구 우영1길 10, 106호(봉명동)",2026-03-26
7,천안-2012-032,9000냥프로헤어,이미용업,김영화,영성동,중앙동,"천안시 동남구 충무로 412-27, 2층(영성동)",2026-03-26
8,천안-2012-034,늑대골,한식,남민자,구룡동,청룡동,천안시 동남구 풍세로696(구룡동),2026-03-26
9,천안-2012-036,신부동가정식백반,한식,권중례,신부동,신안동,천안시 동남구 터미널3길 23(신부동),2026-03-26
10,천안-2012-038,김밥하나,한식,이미희,신부동,신안동,천안시 동남구 대흥로 340 (신부동),2026-03-26
11,천안-2012-039,운영식당,한식,신운영,신부동,신안동,천안시 동남구 단대로 119-11(신부동),2026-03-26
12,천안-2012-049,사라헤어라인,이미용업,이혜원,성정동,성정1동,천안시 서북구 양지21길 25(성정동),2026-03-26
13,천안-2012-050,참새방앗간,한식,이형식,성정동,성정1동,"천안시 서북구 봉정로 137, 1층(성정동)",2026-03-26
14,천안-2012-057,코리아세탁소,세탁업,곽순옥,성정동,성정2동,천안시 서북구 서부1길 58(성정동),2026-03-26
15,천안-2012-058,대왕매실갈비,한식,조정수,직산읍,직산읍,천안시 서북구 직산읍 아랫말1길 8,2026-03-26
16,천안-2012-059,흑미김밥세상,한식,김염희,직산읍,직산읍,천안시 서북구 직산읍 봉주로 27,2026-03-26
